ID              fesc         e_fesc       E_fesc       fesc_restricted  e_fesc_restricted  E_fesc_restricted  Central
---------------------------------------------------------------------------------------------------------------------
J132633+421824  0.002535809  0.002122116  0.002962913  0.002274930      0.001934995        0.002751806        880.00 
J155945+403325  0.049435550  0.009171319  0.012618969  0.050902434      0.009243444        0.012887011        895.00 
J131037+214817  0.033493730  0.011462521  0.016616566  0.033493730      0.011462521        0.016616566        890.00 
J124619+444902  0.006017475  0.003627412  0.009157203  0.005237770      0.003291823        0.008311406        880.00 
J101401+523251  0.044219962  0.031976597  0.044046289  0.037021184      0.027895557        0.037634304        860.00 
J140333+612115  0.001466810  0.001147988  0.002607488  0.001466810      0.001147988        0.002607488        890.00 
J134559+112848  0.000536919  0.000169453  0.000250697  0.000536919      0.000169453        0.000250697        890.00 
J003601+003307  0.001516982  0.000719360  0.001698282  0.000786980      0.000421159        0.001156264        ...    
J095700+235709  0.000659495  0.000346437  0.000484209  0.000659495      0.000346437        0.000484209        890.00 
J144010+461937  0.001995099  0.001288049  0.001948280  0.001995099      0.001288049        0.001948280        890.00 
J103816+452718  0.000738989  0.000216569  0.000246840  0.000465272      0.000145128        0.000174424        870.00 
J072326+414608  0.008683453  0.003798548  0.003926264  0.008683453      0.003798548        0.003926264        890.00 
J124835+123403  0.048241745  0.012056658  0.014867836  0.048241745      0.012056658        0.014867836        890.00 
J120934+305326  0.020052964  0.012707831  0.005872298  0.020052964      0.012707831        0.005872298        890.00 
J095236+405249  0.061178771  0.024627616  0.033834619  0.056734443      0.023796019        0.033537750        880.00 
J130059+451057  0.027512844  0.023636961  0.156132402  0.019217851      0.016902855        0.147637258        870.00 
J151707+370512  0.013700800  0.005737949  0.011427476  0.010925498      0.005070388        0.011552708        860.00 
J121915+453930  0.018514451  0.004756036  0.017164081  0.018514451      0.004756036        0.017164081        890.00 
J091207+523960  0.003022212  0.001295228  0.001536940  0.003022212      0.001295228        0.001536940        890.00 
J172010+542133  0.025089282  0.015680083  0.018506048  0.019435347      0.011709357        0.016703265        890.00 
J124423+021540  0.001072692  0.000569863  0.000588936  0.001072692      0.000569863        0.000588936        890.00 
J095838+202508  0.000917283  0.000643098  0.001631334  0.000917283      0.000643098        0.001631334        890.00 
J125503+255609  0.045923170  0.018176999  0.027818085  0.042836334      0.017183797        0.027579759        880.00 
J125718+410221  0.016593630  0.010751738  0.015514277  0.015196002      0.009816140        0.015881043        880.00 
J012217+052044  0.069874798  0.026951000  0.039831939  0.057056250      0.026086718        0.039803248        850.00 
J123519+063556  0.010321754  0.002919027  0.002638889  0.007415260      0.002284839        0.002117306        870.00 
J132937+573315  0.001883452  0.000934121  0.000944118  0.001883452      0.000934121        0.000944118        890.00 
J164849+495751  0.150591356  0.123450168  0.193709073  0.146003639      0.119656946        0.191201530        840.00 
J091208+505009  0.000570176  0.000399896  0.001637340  0.000459099      0.000329738        0.001360778        870.00 
J082652+182052  0.008509404  0.006308850  0.013509368  0.008509404      0.006308850        0.013509368        890.00 
J141013+434435  0.003935190  0.002260472  0.008692356  0.002280039      0.001476235        0.007011885        860.00 
J081112+414146  0.004897021  0.002822687  0.005463726  0.003596541      0.002176770        0.004758703        870.00 
J130128+510451  0.038830749  0.012956652  0.022534474  0.031298884      0.011466866        0.020389288        860.00 
J135008+662438  0.001890251  0.001405721  0.006942878  0.000870222      0.000743468        0.003787165        840.00 
J080425+472607  0.009762557  0.005846828  0.008818987  0.007093167      0.004748317        0.009414291        850.00 
J160437+081959  0.025270857  0.018343703  0.062066081  0.025162345      0.018278303        0.061832530        880.00 
J103344+635317  0.003867956  0.003014686  0.008904655  0.003038405      0.002374232        0.005804243        860.00 
