ASCII table of spectral energy distribution (SED) fitting results presented in the study *"The Challenge in Illuminating the Invisible: Constraining LyC Escape with Bayesian Modelling and Symbolic Regression"* (Stoffers et al. 2025). The table reports inferred escape fractions of ionizing photons together with key stellar population and dust attenuation parameters derived from Bayesian SED modelling. Galaxies best fit by a three-component dust attenuation model list the parameters tau_3, tau_2_fraction, and tau_1_fraction, where the fractional parameters express tau_1 and tau_2 relative to the total optical depth tau_3. Galaxies best fit by a two-component dust model instead list tau_2 and tau_1_fraction, with the fraction defined as tau_1 / tau_2. These results form the basis for the analysis of LyC escape presented in the paper.

ID              fesc         e_fesc       E_fesc       logM*  e_logM*  E_logM*  SFR_5   e_SFR_5  E_SFR_5  SFR_10  e_SFR_10  E_SFR_10  SFR_100  e_SFR_100  E_SFR_100  t50   e_t50  E_t50  beta_slope  e_beta_slope  E_beta_slope  logZ*  e_logZ*  E_logZ*  logZ_gas  e_logZ_gas  E_logZ_gas  logU   e_logU  E_logU  tau_2  e_tau_2  E_tau_2  tau_1_fraction  e_tau_1_fraction  E_tau_1_fraction  tau_3  e_tau_3  E_tau_3  tau_2_fraction  e_tau_2_fraction  E_tau_2_fraction  f_scale  e_f_scale  E_f_scale  f_ob_run    e_f_ob_run  E_f_ob_run
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
J132633+421824  0.002535809  0.002122116  0.002962913  9.14   0.18     0.15     10.89   1.41     3.48     13.94   2.89      5.44      7.50     1.02       2.97       0.06  0.04   0.50   -2.036      0.053         0.062         -1.39  0.18     0.12     -0.50     0.02        0.01        -2.07  0.02    0.03    0.419  0.062    0.084    1.187           0.234             0.265             ...    ...      ...      ...             ...               ...               0.930    0.055      0.065      0.12054632  0.09432015  0.18253039
J155945+403325  0.049435550  0.009171319  0.012618969  9.07   0.32     0.26     16.64   3.81     4.90     14.19   3.22      3.77      3.89     0.88       1.41       0.25  0.22   2.55   -2.365      0.075         0.070         -1.17  0.18     0.17     -0.54     0.01        0.01        -2.19  0.02    0.03    0.532  0.083    0.088    1.103           0.286             0.196             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.67959888  0.08048650  0.06245749
J131037+214817  0.033493730  0.011462521  0.016616566  9.89   0.19     0.20     25.23   4.34     5.78     21.13   2.81      4.08      7.82     2.99       3.56       2.43  1.72   2.31   -2.358      0.071         0.051         -1.03  0.16     0.23     -0.30     0.01        0.01        -2.39  0.02    0.02    ...    ...      ...      0.957           0.264             0.261             0.932  0.266    0.434    0.528           0.151             0.247             0.892    0.069      0.100      0.78734426  0.04021040  0.05317855
J124619+444902  0.006017475  0.003627412  0.009157203  8.79   0.30     0.30     19.25   3.76     5.05     19.20   3.40      2.93      3.26     0.91       2.09       0.04  0.03   1.38   -1.956      0.110         0.121         -1.17  0.21     0.13     -0.47     0.02        0.02        -2.02  0.03    0.03    ...    ...      ...      0.986           0.274             0.294             0.378  0.120    0.177    0.437           0.200             0.215             0.966    0.051      0.053      0.55574620  0.11015825  0.08096765
J101401+523251  0.044219962  0.031976597  0.044046289  9.50   0.17     0.13     1.59    0.60     0.89     3.96    1.39      1.59      3.51     0.93       1.30       2.13  1.32   1.86   -2.137      0.079         0.098         -1.35  0.22     0.22     -0.36     0.06        0.06        -2.75  0.02    0.03    0.183  0.092    0.084    0.953           0.304             0.493             ...    ...      ...      ...             ...               ...               0.972    0.204      0.257      0.47838753  0.20836312  0.18565971
J140333+612115  0.001466810  0.001147988  0.002607488  8.30   0.18     0.15     6.43    0.94     4.50     5.46    1.04      2.63      1.68     0.44       0.40       0.02  0.01   0.01   -2.000      0.092         0.104         -1.53  0.19     0.17     -0.44     0.07        0.04        -1.07  0.09    0.04    0.399  0.088    0.056    1.179           0.327             0.182             ...    ...      ...      ...             ...               ...               0.696    0.024      0.039      0.08784817  0.07002646  0.35031797
J134559+112848  0.000536919  0.000169453  0.000250697  10.64  0.24     0.20     174.32  14.76    29.79    115.98  13.35     13.37     33.05    12.43      17.55      2.79  1.99   2.08   -1.691      0.075         0.075         -0.71  0.17     0.22     -0.42     0.02        0.01        -2.70  0.02    0.02    ...    ...      ...      0.992           0.282             0.267             1.343  0.334    0.357    0.639           0.125             0.169             0.763    0.180      0.247      0.92372678  0.02165107  0.01867782
J003601+003307  0.001516982  0.000719360  0.001698282  9.27   0.57     0.34     19.73   2.55     3.12     10.43   1.38      1.87      1.42     0.33       0.51       3.96  2.68   1.20   -2.183      0.066         0.070         -1.23  0.14     0.18     -0.38     0.02        0.02        -1.01  0.01    0.01    ...    ...      ...      0.913           0.251             0.318             1.190  0.499    0.611    0.307           0.126             0.253             0.909    0.042      0.044      0.58368911  0.08331411  0.05510815
J095700+235709  0.000659495  0.000346437  0.000484209  10.82  0.10     0.13     84.78   45.55    34.18    78.48   35.36     31.11     77.34    25.12      23.27      0.89  0.41   2.24   -1.504      0.095         0.104         -1.24  0.16     0.13     -0.14     0.01        0.01        -2.87  0.02    0.01    0.949  0.089    0.104    1.003           0.298             0.314             ...    ...      ...      ...             ...               ...               ...      ...        ...        0.90110622  0.16574504  0.03029914
