ID              logM*  e_logM*  E_logM*  SFR_5   e_SFR_5  E_SFR_5  SFR_10  e_SFR_10  E_SFR_10  SFR_100  e_SFR_100  E_SFR_100  t50   e_t50  E_t50  logZ*  e_logZ*  E_logZ*  logZ_gas  e_logZ_gas  E_logZ_gas
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
J132633+421824  9.14   0.18     0.15     10.89   1.41     3.48     13.94   2.89      5.44      7.50     1.02       2.97       0.06  0.04   0.50   -1.39  0.18     0.12     -0.50     0.02        0.01      
J155945+403325  9.07   0.32     0.26     16.64   3.81     4.90     14.19   3.22      3.77      3.89     0.88       1.41       0.25  0.22   2.55   -1.17  0.18     0.17     -0.54     0.01        0.01      
J131037+214817  9.89   0.19     0.20     25.23   4.34     5.78     21.13   2.81      4.08      7.82     2.99       3.56       2.43  1.72   2.31   -1.03  0.16     0.23     -0.30     0.01        0.01      
J124619+444902  8.79   0.30     0.30     19.25   3.76     5.05     19.20   3.40      2.93      3.26     0.91       2.09       0.04  0.03   1.38   -1.17  0.21     0.13     -0.47     0.02        0.02      
J101401+523251  9.50   0.17     0.13     1.59    0.60     0.89     3.96    1.39      1.59      3.51     0.93       1.30       2.13  1.32   1.86   -1.35  0.22     0.22     -0.36     0.06        0.06      
J140333+612115  8.30   0.18     0.15     6.43    0.94     4.50     5.46    1.04      2.63      1.68     0.44       0.40       0.02  0.01   0.01   -1.53  0.19     0.17     -0.44     0.07        0.04      
J134559+112848  10.64  0.24     0.20     174.32  14.76    29.79    115.98  13.35     13.37     33.05    12.43      17.55      2.79  1.99   2.08   -0.71  0.17     0.22     -0.42     0.02        0.01      
J003601+003307  9.27   0.57     0.34     19.73   2.55     3.12     10.43   1.38      1.87      1.42     0.33       0.51       3.96  2.68   1.20   -1.23  0.14     0.18     -0.38     0.02        0.02      
J095700+235709  10.82  0.10     0.13     84.78   45.55    34.18    78.48   35.36     31.11     77.34    25.12      23.27      0.89  0.41   2.24   -1.24  0.16     0.13     -0.14     0.01        0.01      
J144010+461937  9.95   0.23     0.17     41.40   20.34    23.73    39.52   19.89     18.05     35.48    10.86      11.33      0.21  0.15   1.29   -1.12  0.13     0.13     -0.45     0.02        0.02      
J103816+452718  9.65   0.22     0.23     419.23  58.89    44.88    236.81  28.45     26.97     36.57    9.60       13.27      0.01  0.01   0.05   -0.84  0.21     0.14     -0.28     0.01        0.01      
J072326+414608  9.27   0.28     0.22     14.68   6.87     8.86     13.44   6.56      6.67      6.57     1.31       2.27       0.32  0.27   2.67   -1.20  0.19     0.13     -0.51     0.01        0.01      
J124835+123403  9.06   0.26     0.23     23.76   5.28     4.45     16.68   1.92      2.09      3.66     0.94       1.95       0.36  0.32   3.79   -0.94  0.09     0.15     -0.59     0.01        0.01      
J120934+305326  9.16   0.13     0.20     18.50   8.29     6.45     15.36   6.75      4.56      8.13     2.00       3.54       0.08  0.04   1.45   -1.05  0.16     0.10     -0.40     0.01        0.01      
J095236+405249  9.22   0.27     0.23     12.50   3.91     4.21     9.34    2.29      2.16      2.56     0.64       1.09       1.51  1.29   2.61   -0.93  0.30     0.22     -0.49     0.03        0.04      
J130059+451057  9.99   0.17     0.12     0.72    0.43     1.24     0.95    0.50      1.16      2.22     0.75       1.14       3.29  1.91   1.46   -1.07  0.32     0.30     -0.34     0.11        0.05      
J151707+370512  8.98   0.17     0.19     17.48   3.33     3.20     32.95   7.28      5.07      5.76     0.73       2.47       0.02  0.01   0.97   -1.38  0.17     0.11     -0.31     0.01        0.01      
J121915+453930  9.05   0.14     0.23     2.66    0.68     1.07     2.98    0.71      1.99      3.45     1.12       1.01       0.21  0.15   2.65   -1.22  0.10     0.15     -0.61     0.03        0.03      
J091207+523960  10.22  0.18     0.16     25.17   2.76     4.08     14.87   1.70      2.01      3.78     1.14       1.74       4.92  2.02   0.82   -0.73  0.31     0.59     -0.18     0.02        0.01      
J172010+542133  9.26   0.19     0.16     2.89    0.64     1.29     6.24    1.91      3.08      2.87     0.56       0.99       2.62  2.11   1.87   -1.49  0.19     0.23     -0.61     0.04        0.03      
